Year,ATCCode,ATC code name,tonnes per year
2023,P01A,Agents against amoebiasis and other protozoal diseases,1.335
2024,A07A,Intestinal antiinfectives,0.842
2024,J01A,Tetracyclines,2.456
2024,J01B,Amphenicols,0.095
2024,J01C,"Beta-lactam antibacterials, penicillins",74.570
2024,J01D,Other beta-lactam antibacterials,5.920
2024,J01E,Sulfonamides and trimethoprim,2.759
2024,J01F,"Macrolides, lincosamides and streptogramins",7.406
2024,J01G,Aminoglycoside antibacterials,0.066
2024,J01M,Quinolone antibacterials,1.777
2024,J01R,Combinations of antibacterials,0.000
2024,J01X,Other antibacterials,5.277
2024,P01A,Agents against amoebiasis and other protozoal diseases,1.381
