year,country,sales_tonnes,sales_mgpcu,pcu_1000_tonnes
2021,Belgium,168.6,95.3,1769.5
2021,Bulgaria,48.7,124.5,391.3
2021,Croatia,20.7,62.7,330.8
2021,Cyprus,45.1,296.5,152.0
2021,Czechia,35.5,50.0,709.0
2021,Denmark,81.9,33.4,2452.1
2021,Estonia,5.3,46.6,114.4
2021,Finland,8.4,17.0,492.0
2021,France,349.3,51.7,6758.1
2021,Germany,590.7,73.2,8071.2
2021,Ireland,93.2,42.4,2196.1
2021,Italy,661.7,173.5,3812.6
2021,Latvia,3.9,25.5,152.6
2021,Lithuania,21.1,71.2,296.6
2021,Luxembourg,1.5,27.1,54.2
2021,Malta,1.6,110.5,14.8
2021,Netherlands,147.2,47.6,3091.9
2021,Norway,5.1,2.3,2196.9
2021,Poland,775.1,175.5,4417.2
2021,Portugal,159.4,149.9,1063.3
2021,Romania,173.7,59.0,2942.8
2021,Slovakia,9.6,41.7,229.9
2021,Slovenia,5.8,31.8,183.7
2021,Spain,1296.5,157.2,8245.0
2021,Sweden,9.5,12.1,787.6
2022,Austria,34.3,36.2,946.4
2022,Belgium,120.2,73.5,1634.6
2022,Bulgaria,37.0,103.2,358.0
2022,Croatia,17.1,56.2,304.1
2022,Cyprus,35.6,254.7,139.7
2022,Czechia,32.3,46.4,696.7
2022,Denmark,80.2,34.1,2355.9
2022,Estonia,5.2,45.8,114.5
2022,Finland,7.2,14.9,484.8
2022,France,255.2,38.9,6561.4
2022,Germany,531.1,69.9,7600.9
2022,Greece,101.7,89.0,1141.9
2022,Hungary,92.6,111.2,832.9
2022,Iceland,0.6,4.4,140.2
2022,Ireland,75.6,33.6,2246.0
2022,Italy,585.4,157.5,3716.3
2022,Latvia,3.4,20.8,163.7
2022,Lithuania,14.5,48.2,300.1
2022,Luxembourg,1.3,25.1,51.1
2022,Malta,1.1,74.4,15.3
2022,Portugal,82.0,77.1,1062.4
2022,Romania,136.4,48.8,2794.4
2022,Slovakia,9.2,41.1,223.9
2022,Slovenia,4.7,25.7,182.4
2022,Spain,1027.2,127.4,8063.3
2022,Sweden,8.3,10.6,788.1
