DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2007,58389,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2008,60355,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2009,60949,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2010,62366,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2011,63241,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2012,64238,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2013,63306,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2014,62992,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2015,61532,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2016,61491,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2017,60213,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2018,59832,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2019,58977,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2020,58594,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2021,58196,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2022,56466,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2023,58896,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2024,56682,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2025,55138,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2005,57866,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2006,60194,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2007,61406,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Males,Belgium,2008,62850,,
